"id","path_id","level_id","component_added","stress","median","verification","diff"
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",60,34728474,"gradual",-264171
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",64,41245778,"gradual",-387211
"4dfbb69cb6ffa31dfee7",0,54,"m.appendLemmaLoopBody.2.post.31",32,1575681,"gradual",-326820
"4dfbb69cb6ffa31dfee7",0,54,"m.appendLemmaLoopBody.2.post.31",52,2328243,"gradual",-219086
"5efccb17ea5ded5df7db",5,54,"m.list_insert.4.unfold.59",52,23439132,"gradual",-404240
"5efccb17ea5ded5df7db",5,54,"m.list_insert.4.unfold.59",56,28556408,"gradual",-179793
"5efccb17ea5ded5df7db",5,54,"m.list_insert.4.unfold.59",60,34548183,"gradual",-180291
"7b7afe5edf675bdbcd9a",1,55,"m.appendLemmaLoopBody.2.post.29",32,1562822,"gradual",-1773678
"7b7afe5edf675bdbcd9a",1,55,"m.appendLemmaLoopBody.2.post.29",36,1731487,"gradual",-186275
"7b7afe5edf675bdbcd9a",1,55,"m.appendLemmaLoopBody.2.post.29",56,2625917,"gradual",-181920
"7b7afe5edf675bdbcd9a",1,55,"m.appendLemmaLoopBody.2.post.29",64,3064523,"gradual",-224581
"5efccb57ea5ded5df7db",5,55,"m.appendLemmaLoopBody.1.pre.24",28,5113922,"gradual",-185134
"5efccb57ea5ded5df7db",5,55,"m.appendLemmaLoopBody.1.pre.24",32,6896702,"gradual",-183230
"5efccb57ea5ded5df7db",5,55,"m.appendLemmaLoopBody.1.pre.24",44,15064586,"gradual",-238002
"5dfbb69cb6ffb31dfee7",0,56,"m.appendLemmaAfterLoopBody.1.pre.2",28,1508636,"gradual",-260281
"5dfbb69cb6ffb31dfee7",0,56,"m.appendLemmaAfterLoopBody.1.pre.2",32,1665011,"gradual",-227228
"5dfbb69cb6ffb31dfee7",0,56,"m.appendLemmaAfterLoopBody.1.pre.2",64,3101406,"gradual",-233131
"7cffabfa3d3b67dff4ea",2,56,"m.list_insert.4.unfold.45",0,1198806,"gradual",-296460
"7cffabfa3d3b67dff4ea",2,56,"m.list_insert.4.unfold.45",4,1193229,"gradual",-190061
"7cffabfa3d3b67dff4ea",2,56,"m.list_insert.4.unfold.45",8,1202843,"gradual",-216244
"7cffabfa3d3b67dff4ea",2,56,"m.list_insert.4.unfold.45",20,1491821,"gradual",-187786
"7cffabfa3d3b67dff4ea",2,56,"m.list_insert.4.unfold.45",28,1630497,"gradual",-353012
"7cffabfa3d3b67dff4ea",2,56,"m.list_insert.4.unfold.45",32,1887493,"gradual",-190431
