"permutation_id","program_name","percent_specified","mean"
5541,"avlja",59.2,51.576618206
5541,"avlja",59.2,0.065722965
5541,"avlja",59.2,3.7414585
5543,"composite",65.8,0.003948177
5543,"composite",65.8,1.232379557
5543,"composite",65.8,0.012643491
5543,"composite",65.8,0.839912727
5544,"list",92.7,0.002214678
5544,"list",92.7,4.549188143
5544,"list",92.7,0.012867067
5544,"list",92.7,0.126877318
5545,"bst",94.9,0.006323134
5545,"bst",94.9,0.480546997
5545,"bst",94.9,0.006966615
5545,"bst",94.9,0.275961117
5546,"avlja",59.7,0.00386987
5546,"avlja",59.7,51.748014142
5546,"avlja",59.7,0.065975438
5546,"avlja",59.7,4.174977735
5549,"list",93.6,0.002204972
5549,"list",93.6,4.500852534
5549,"list",93.6,0.012739869
5549,"list",93.6,0.128500915
5550,"composite",66.5,0.003988321
5550,"composite",66.5,1.260607562
5550,"composite",66.5,0.013268461
5550,"composite",66.5,0.836201892
5552,"bst",95.4,0.006429199
5552,"bst",95.4,0.449671951
5552,"bst",95.4,0.006956475
5552,"bst",95.4,0.298937512
5553,"avlja",60.2,0.003888868
5553,"avlja",60.2,56.233135274
5553,"avlja",60.2,0.077789046
5553,"avlja",60.2,5.008118198
5555,"list",94.5,0.002060178
5555,"list",94.5,4.226984983
5555,"list",94.5,0.013848816
5555,"list",94.5,0.132785432
5556,"composite",67.1,0.003856397
5556,"composite",67.1,1.24976478
5556,"composite",67.1,0.013137562
5556,"composite",67.1,0.839484557
5558,"avlja",60.7,0.003947505
5558,"avlja",60.7,60.300156392
5558,"avlja",60.7,0.078968793
5558,"avlja",60.7,4.989034987
5559,"bst",95.9,0.007175492
5559,"bst",95.9,0.583648065
5559,"bst",95.9,0.006460233
5559,"bst",95.9,0.25199345
5561,"list",95.4,0.002214415
5561,"list",95.4,4.236431474
5561,"list",95.4,0.011560936
5561,"list",95.4,0.122999792
5562,"composite",67.7,0.003903568
5562,"composite",67.7,1.244459865
5562,"composite",67.7,0.012919912
5562,"composite",67.7,0.845807374
5563,"bst",96.3,0.006316305
5563,"bst",96.3,0.490683713
5563,"bst",96.3,0.006105717
5563,"bst",96.3,0.25219497
5565,"avlja",61.3,0.003896023
5565,"avlja",61.3,56.922515576
5565,"avlja",61.3,0.076605483
5565,"avlja",61.3,5.027997575
5566,"list",96.3,0.002250816
5566,"list",96.3,4.168763745
5566,"list",96.3,0.001819055
5566,"list",96.3,0.0942183
5568,"composite",68.3,0.003932089
5568,"composite",68.3,1.297645784
5568,"composite",68.3,0.012971241
5568,"composite",68.3,0.837793054
5570,"avlja",61.8,0.004082169
5570,"avlja",61.8,57.579517198
5570,"avlja",61.8,0.077077726
5570,"avlja",61.8,5.048495593
5571,"bst",96.8,0.006435377
5571,"bst",96.8,0.477736852
5571,"bst",96.8,0.005924355
5571,"bst",96.8,0.251883405
5572,"list",97.2,0.002155926
5572,"list",97.2,4.189128408
5572,"list",97.2,0.001894163
5572,"list",97.2,0.092881771
5573,"composite",68.9,0.00391568
5573,"composite",68.9,1.277198986
5573,"composite",68.9,0.013070888
5573,"composite",68.9,0.84929086
5575,"avlja",62.3,0.003977494
5575,"avlja",62.3,59.61306572
5575,"avlja",62.3,0.076859044
5575,"avlja",62.3,5.05687257
5577,"list",98.2,0.002166043
5577,"list",98.2,4.132069901
5577,"list",98.2,0.001802334
5577,"list",98.2,0.094752687
5578,"bst",97.2,0.006300842
5578,"bst",97.2,0.493443663
5578,"bst",97.2,0.006032397
5578,"bst",97.2,0.244929822
5579,"composite",69.6,0.004404989
5579,"composite",69.6,1.307709597
5579,"composite",69.6,0.014511242
5579,"composite",69.6,0.892442532
5581,"avlja",62.8,0.00408582
5581,"avlja",62.8,58.483977134
5581,"avlja",62.8,0.077646268
5581,"avlja",62.8,5.109054221
5583,"list",99.1,0.002164385
